,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
Education_HighLevel_pct,0.0168210731692737,0.06249008138101329,0.0035133240450491484,0.26325356401247657,0.12247416840114908,0.03097096101926339,0.012066514344394923,0.0008924032066314613,0.006050978138044846,0.4377953568245368,0.02342655464478142,0.014033703219604945,0.00609347420837539,3.2792062468095935e-06,0.0001145641791578473
MeanPTAL,0.06966214224876355,0.17035126126160266,0.000293277146788929,0.020907068321699643,0.0028253030248860337,0.0012161533501383961,0.012391021527221113,0.0843001697601302,0.06635632008529166,0.05672393365805093,0.027040055121353577,0.014619806763443413,0.4514419458260641,0.012321811497989013,0.009549730406576648
Population,0.0007098513619681479,0.004646148739897173,0.013808756365636884,0.32174076794501466,0.07818353560799182,0.13108692402403668,0.3481336746861705,0.022296768159795918,0.0005624114279874875,0.06559576021185369,0.002069725960342979,0.010657396252413054,8.674953751753151e-05,0.0001593412943791152,0.0002621884249944135
Area_km2,0.19202648322604188,0.024139956388057597,0.0011298032330445214,0.011723860221001227,0.0004138962834217448,0.013878425298430965,0.014485109382316428,0.060289179767672084,0.01925988704889767,8.876296637481492e-05,0.09194269998000533,0.01135950220969306,0.0020177424795182752,0.04228851783979727,0.5149561736757272
MeanSentiment,2.2782141847108633e-05,0.0002053116260344374,0.4810390682163843,0.013892614013627003,4.920754910040848e-05,0.009788221045648643,0.0010091545113721347,0.13510191399664936,0.34618950288071176,0.011444012062234103,0.0007150969812991305,0.0002632655982105143,0.0002403848630902839,3.840626460098774e-05,1.0582491896714474e-06
SentimentSD,1.2620096171286624e-05,7.373385765981741e-05,0.4769070152526837,0.015323334410531846,0.008168944800005351,0.0018688895780969701,0.009836461134672105,0.16495320437814556,0.30788416173031014,0.006906220723697839,0.007037371542174078,0.0008270237735684544,8.675593345941818e-05,9.37125155194737e-05,2.055027330407654e-05
ReviewCount,0.0013017303942784366,0.08655429350821067,0.0027293700145461937,0.0019524189068011709,0.010539947812211896,0.5005232764333746,0.29728559433152457,0.023416466029353857,0.0029226841420788804,0.021315524725251653,0.008506184487739434,0.03240976122106662,0.009781772905525732,0.0006409648567529757,0.00012001023128393378
NearestStation_m,0.05697553939973731,0.020203859254688192,0.0003285237681193205,0.06412944118549617,0.3638487193446816,0.011539259418312579,0.0029773315321774615,0.00459403273073762,0.03173231269388757,0.25179050982077783,0.11964304904925148,0.019466253834859806,0.05234851619489405,0.00041657765510636716,6.074117272656823e-06
StationsWithin500m,0.09324734466634176,0.1127502224578108,1.4239818395444392e-05,0.0006353786522634047,0.09411212293750267,0.0071105671883792895,0.009790928970205726,0.09875257917967065,0.043722665534643455,0.017520308678748243,2.2418617567517386e-06,0.07214376318989497,0.44967868773640823,0.000469025954495859,4.992317348294211e-05
NearestRail_m,0.05788438779605134,0.03753681533275762,0.010425558311774424,0.0922757936002849,0.007759626498954715,0.06816718665701685,0.13911559851243763,0.12004773615438422,0.08838357575614222,0.10573022140823864,0.25854188856654353,0.010334600252214917,0.0028954700836337746,0.0009012855356250246,2.5553394025690256e-07
StreetLength_m,0.12130015486318099,0.13854521080128446,0.0005895816671142249,0.03269529483074731,0.0037987305394466017,0.028929602470131426,0.007693177872354543,0.06466536721526686,0.015244614306279793,0.0011712506192126325,0.005858342346574868,0.02949463621950544,0.0025025654434464536,0.4216560271593981,0.1258554436460564
StreetDensity_m_per_m2,0.09995551054965242,0.049885497062687925,0.0013773967957497572,0.06615622019705379,0.10218852866782151,0.10334840676272207,0.0027595897393335313,0.00046981141455092017,0.006160615180027995,0.007802203075313613,0.010479018538551025,0.5282251257822573,0.010954630799489613,0.006281692727233299,0.003955752707554849
StreetSegments,0.033726953994896273,0.2554854276509421,0.001729728182896578,0.048072642726641225,0.004009976877031304,0.01966066385409549,0.029915830671657456,0.09939046022656647,0.017591169769564697,0.01460557374008324,0.01726258735648,0.05378250009304834,0.0025961816756271557,0.35630276503531205,0.045867538145157316
LandUse_Diversity,0.07613954163339327,0.023162636321119125,0.004346021160889669,0.03568207475853839,0.20150069640348764,0.049078310439742506,0.08952227909422898,0.020540302460135947,0.019540311660599063,9.710807837120549e-05,0.33241520796895996,0.1380983265838908,0.008513890131255017,0.0013632339817924175,5.9323596295822524e-08
LandUse_Area,0.18021388445840267,0.01396954435623397,0.0017683360209268608,0.011559526217822967,0.0001265952523076763,0.022833152460610347,0.023017733689932787,0.1002896053203089,0.02839878964553265,0.0014132534072548264,0.09505997559418639,0.06428433500632846,0.0007612321816950396,0.15706335847575117,0.29924067791270553
