Borough,Total Places,Average Sentiment,Total Reviews,Positive Places Percentage,Most Common Issues
City of London,233,0.5825168028672819,1670758,82.83261802575107,"General, Aesthetics, Maintenance, Accessibility, Atmosphere"
Camden,270,0.6105093420244787,1623092,87.03703703703704,"General, Aesthetics, Accessibility, Maintenance, Atmosphere"
Islington,259,0.6029489490036952,1103187,84.94208494208493,"General, Aesthetics, Maintenance, Accessibility, Atmosphere"
Hackney,230,0.589078396804595,664738,83.04347826086956,"General, Aesthetics, Maintenance, Accessibility, Atmosphere"
Tower Hamlets,228,0.562678189652647,678379,80.7017543859649,"General, Aesthetics, Maintenance, Atmosphere, Accessibility"
Westminster,239,0.5862737113725083,1707547,81.17154811715481,"General, Aesthetics, Accessibility, Maintenance, Atmosphere"
Kensington and Chelsea,241,0.6016281656409086,1072820,84.64730290456431,"General, Aesthetics, Accessibility, Maintenance, Traffic"
Enfield,166,0.5469367693346665,47033,73.49397590361446,"General, Aesthetics, Maintenance, Accessibility, Traffic"
Barnet,189,0.5872095661565251,54833,83.5978835978836,"General, Aesthetics, Maintenance, Traffic, Accessibility"
Haringey,183,0.5642109581835357,115033,78.68852459016394,"General, Aesthetics, Maintenance, Atmosphere, Accessibility"
Southwark,239,0.5842475887697998,1665896,82.00836820083683,"General, Aesthetics, Maintenance, Accessibility, Traffic"
Lambeth,192,0.5660303107962976,337806,79.6875,"General, Aesthetics, Accessibility, Traffic, Atmosphere"
Lewisham,199,0.5407920329207021,146754,74.37185929648241,"General, Aesthetics, Maintenance, Atmosphere, Traffic"
Greenwich,187,0.5580502624295326,184845,79.67914438502673,"General, Aesthetics, Maintenance, Traffic, Accessibility"
Wandsworth,216,0.5859572058524398,279358,81.94444444444444,"General, Aesthetics, Maintenance, Atmosphere, Accessibility"
Bromley,164,0.5553458706432887,41524,78.04878048780488,"General, Aesthetics, Maintenance, Atmosphere, Traffic"
Croydon,159,0.5747594461594736,54383,79.24528301886792,"General, Aesthetics, Maintenance, Atmosphere, Traffic"
Merton,182,0.5773831843761259,53654,82.96703296703298,"General, Aesthetics, Traffic, Atmosphere, Maintenance"
Sutton,150,0.5462236031945108,31027,76.66666666666667,"General, Aesthetics, Traffic, Maintenance, Atmosphere"
Waltham Forest,53,0.5476460996695034,10541,75.47169811320755,"General, Maintenance, Aesthetics, Traffic, Comfort"
